Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",16.738600,36.296600,-135.000000,top
"C2","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",16.738600,19.024600,-45.000000,top
"C3","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",34.010600,19.024600,-135.000000,top
"C4","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",34.010600,36.296600,135.000000,top
"C5","10µ","CP_EIA-3216-12_Kemet-S_Pad1.58x1.35mm_HandSolder",44.246800,78.079600,0.000000,top
"C6","10µ","CP_EIA-3216-12_Kemet-S_Pad1.58x1.35mm_HandSolder",7.213600,14.579600,0.000000,top
"C7","10µ","CP_EIA-3216-12_Kemet-S_Pad1.58x1.35mm_HandSolder",3.784600,26.898600,90.000000,top
"R1","2.2R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",38.963600,78.079600,180.000000,top
"R2","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",49.504600,78.079600,180.000000,top
"R3","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",8.991600,78.536800,180.000000,top
"U1","XC9572XL-VQ64","TQFP-64_10x10mm_P0.5mm",25.374600,27.660600,45.000000,top
"U3","AMS1117-3.3","SOT-223-3_TabPin2",9.753600,26.009600,0.000000,top
"XS1","SD connector","Conn_uSDcard",55.456000,67.310000,90.000000,top
